54,21,-9
57,22,-8
55,25,-9
51,29,-11
47,36,-15
54,30,-11
54,32,-8
50,34,-9
53,24,-16
51,29,-11
56,28,-5
52,29,-6
53,32,-10
53,33,-7
52,31,-8
55,28,-9
60,27,-8
55,27,-9
53,29,-8
56,31,-7
53,24,-17
54,29,-4
55,25,-11
57,20,-13
54,21,-12
53,21,-13
60,25,-11
58,25,-10
62,24,-8
63,25,-10
63,27,-17
60,32,-14
57,34,-9
50,29,-5
50,28,-9
57,32,-14
60,30,-11
59,28,-12
59,24,-14
60,23,-12
56,23,-14
61,22,-18
65,23,-14
58,24,-16
59,23,-16
57,26,-17
56,27,-15
56,26,-15
55,25,-17
52,26,-15
50,25,-15
48,23,-15
47,21,-15
51,16,-13
51,15,-12
52,12,-13
59,11,-16
63,11,-16
